seed,strategy,task,convergence_steps
0,shared_sequential,addition,270
0,shared_sequential,subtraction,82
0,shared_sequential,multiplication,1270
0,shared_sequential,powers,1210
0,independent_scratch,addition,270
0,independent_scratch,subtraction,29
0,independent_scratch,multiplication,1090
0,independent_scratch,powers,392
0,clone_and_adapt,addition,270
0,clone_and_adapt,subtraction,95
0,clone_and_adapt,multiplication,1090
0,clone_and_adapt,powers,157
1,shared_sequential,addition,231
1,shared_sequential,subtraction,82
1,shared_sequential,multiplication,1002
1,shared_sequential,powers,1500
1,independent_scratch,addition,291
1,independent_scratch,subtraction,42
1,independent_scratch,multiplication,1020
1,independent_scratch,powers,443
1,clone_and_adapt,addition,291
1,clone_and_adapt,subtraction,42
1,clone_and_adapt,multiplication,1020
1,clone_and_adapt,powers,222
2,shared_sequential,addition,327
2,shared_sequential,subtraction,93
2,shared_sequential,multiplication,999
2,shared_sequential,powers,1500
2,independent_scratch,addition,308
2,independent_scratch,subtraction,41
2,independent_scratch,multiplication,1134
2,independent_scratch,powers,517
2,clone_and_adapt,addition,308
2,clone_and_adapt,subtraction,41
2,clone_and_adapt,multiplication,1134
2,clone_and_adapt,powers,181
3,shared_sequential,addition,296
3,shared_sequential,subtraction,136
3,shared_sequential,multiplication,1123
3,shared_sequential,powers,1500
3,independent_scratch,addition,273
3,independent_scratch,subtraction,25
3,independent_scratch,multiplication,1500
3,independent_scratch,powers,472
3,clone_and_adapt,addition,273
3,clone_and_adapt,subtraction,104
3,clone_and_adapt,multiplication,1500
3,clone_and_adapt,powers,164
4,shared_sequential,addition,342
4,shared_sequential,subtraction,69
4,shared_sequential,multiplication,1114
4,shared_sequential,powers,1500
4,independent_scratch,addition,290
4,independent_scratch,subtraction,27
4,independent_scratch,multiplication,1131
4,independent_scratch,powers,491
4,clone_and_adapt,addition,290
4,clone_and_adapt,subtraction,97
4,clone_and_adapt,multiplication,1131
4,clone_and_adapt,powers,197
5,shared_sequential,addition,297
5,shared_sequential,subtraction,93
5,shared_sequential,multiplication,1208
5,shared_sequential,powers,1500
5,independent_scratch,addition,318
5,independent_scratch,subtraction,22
5,independent_scratch,multiplication,1302
5,independent_scratch,powers,573
5,clone_and_adapt,addition,318
5,clone_and_adapt,subtraction,22
5,clone_and_adapt,multiplication,1302
5,clone_and_adapt,powers,266
6,shared_sequential,addition,230
6,shared_sequential,subtraction,85
6,shared_sequential,multiplication,1040
6,shared_sequential,powers,1500
6,independent_scratch,addition,281
6,independent_scratch,subtraction,38
6,independent_scratch,multiplication,1203
6,independent_scratch,powers,489
6,clone_and_adapt,addition,281
6,clone_and_adapt,subtraction,38
6,clone_and_adapt,multiplication,1203
6,clone_and_adapt,powers,218
7,shared_sequential,addition,280
7,shared_sequential,subtraction,77
7,shared_sequential,multiplication,943
7,shared_sequential,powers,1500
7,independent_scratch,addition,299
7,independent_scratch,subtraction,45
7,independent_scratch,multiplication,1077
7,independent_scratch,powers,484
7,clone_and_adapt,addition,299
7,clone_and_adapt,subtraction,86
7,clone_and_adapt,multiplication,1077
7,clone_and_adapt,powers,175
8,shared_sequential,addition,286
8,shared_sequential,subtraction,75
8,shared_sequential,multiplication,869
8,shared_sequential,powers,1500
8,independent_scratch,addition,257
8,independent_scratch,subtraction,44
8,independent_scratch,multiplication,879
8,independent_scratch,powers,473
8,clone_and_adapt,addition,257
8,clone_and_adapt,subtraction,104
8,clone_and_adapt,multiplication,879
8,clone_and_adapt,powers,189
9,shared_sequential,addition,321
9,shared_sequential,subtraction,74
9,shared_sequential,multiplication,1185
9,shared_sequential,powers,748
9,independent_scratch,addition,345
9,independent_scratch,subtraction,43
9,independent_scratch,multiplication,1293
9,independent_scratch,powers,415
9,clone_and_adapt,addition,345
9,clone_and_adapt,subtraction,43
9,clone_and_adapt,multiplication,1293
9,clone_and_adapt,powers,171
10,shared_sequential,addition,245
10,shared_sequential,subtraction,61
10,shared_sequential,multiplication,1038
10,shared_sequential,powers,1500
10,independent_scratch,addition,306
10,independent_scratch,subtraction,25
10,independent_scratch,multiplication,1198
10,independent_scratch,powers,450
10,clone_and_adapt,addition,306
10,clone_and_adapt,subtraction,104
10,clone_and_adapt,multiplication,1198
10,clone_and_adapt,powers,338
11,shared_sequential,addition,305
11,shared_sequential,subtraction,80
11,shared_sequential,multiplication,1170
11,shared_sequential,powers,1500
11,independent_scratch,addition,341
11,independent_scratch,subtraction,25
11,independent_scratch,multiplication,1256
11,independent_scratch,powers,439
11,clone_and_adapt,addition,341
11,clone_and_adapt,subtraction,25
11,clone_and_adapt,multiplication,1256
11,clone_and_adapt,powers,227
12,shared_sequential,addition,241
12,shared_sequential,subtraction,78
12,shared_sequential,multiplication,1314
12,shared_sequential,powers,1403
12,independent_scratch,addition,302
12,independent_scratch,subtraction,22
12,independent_scratch,multiplication,1333
12,independent_scratch,powers,533
12,clone_and_adapt,addition,302
12,clone_and_adapt,subtraction,90
12,clone_and_adapt,multiplication,1333
12,clone_and_adapt,powers,236
13,shared_sequential,addition,280
13,shared_sequential,subtraction,72
13,shared_sequential,multiplication,1139
13,shared_sequential,powers,1500
13,independent_scratch,addition,279
13,independent_scratch,subtraction,40
13,independent_scratch,multiplication,1240
13,independent_scratch,powers,520
13,clone_and_adapt,addition,279
13,clone_and_adapt,subtraction,105
13,clone_and_adapt,multiplication,1240
13,clone_and_adapt,powers,245
14,shared_sequential,addition,292
14,shared_sequential,subtraction,80
14,shared_sequential,multiplication,1037
14,shared_sequential,powers,1437
14,independent_scratch,addition,279
14,independent_scratch,subtraction,26
14,independent_scratch,multiplication,968
14,independent_scratch,powers,383
14,clone_and_adapt,addition,279
14,clone_and_adapt,subtraction,26
14,clone_and_adapt,multiplication,968
14,clone_and_adapt,powers,180
