strategy,task,mean,std,count
clone_and_adapt,addition,0.8375555555555555,0.031809618857381046,15
clone_and_adapt,multiplication,0.8202222222222222,0.040756081767733786,15
clone_and_adapt,powers,0.8535555555555555,0.034260131549026664,15
clone_and_adapt,subtraction,0.8593333333333334,0.031019706997684894,15
independent_scratch,addition,0.8375555555555555,0.031809618857381046,15
independent_scratch,multiplication,0.8202222222222222,0.040756081767733786,15
independent_scratch,powers,0.8606666666666667,0.02542339879617214,15
independent_scratch,subtraction,0.8586666666666667,0.03866420353402659,15
shared_sequential,addition,0.03244444444444445,0.011579035973433804,15
shared_sequential,multiplication,0.07888888888888888,0.017980000647397743,15
shared_sequential,powers,0.772888888888889,0.05334622859978113,15
shared_sequential,subtraction,0.01111111111111111,0.007310208850583781,15
