seed,strategy,total_params
0,shared_sequential,129
0,independent_scratch,516
0,clone_and_adapt,516
1,shared_sequential,129
1,independent_scratch,516
1,clone_and_adapt,516
2,shared_sequential,129
2,independent_scratch,516
2,clone_and_adapt,387
3,shared_sequential,129
3,independent_scratch,516
3,clone_and_adapt,387
4,shared_sequential,129
4,independent_scratch,516
4,clone_and_adapt,387
5,shared_sequential,129
5,independent_scratch,516
5,clone_and_adapt,387
6,shared_sequential,129
6,independent_scratch,516
6,clone_and_adapt,387
7,shared_sequential,129
7,independent_scratch,516
7,clone_and_adapt,387
8,shared_sequential,129
8,independent_scratch,516
8,clone_and_adapt,516
9,shared_sequential,129
9,independent_scratch,516
9,clone_and_adapt,387
10,shared_sequential,129
10,independent_scratch,516
10,clone_and_adapt,516
11,shared_sequential,129
11,independent_scratch,516
11,clone_and_adapt,516
12,shared_sequential,129
12,independent_scratch,516
12,clone_and_adapt,387
13,shared_sequential,129
13,independent_scratch,516
13,clone_and_adapt,516
14,shared_sequential,129
14,independent_scratch,516
14,clone_and_adapt,387
