target_task,prior_history,prior_tasks,seed,prior_history_valid,strategy,source_task,compatibility_score,solve_accuracy,adaptation_steps,fixed_budget,target_attempted,acquisition_success,heldout_accuracy,heldout_mse,addition_prior_steps,addition_prior_success,multiplication_prior_steps,multiplication_prior_success
subtraction,none,none,0,True,scratch,,0.0,0.0,21.0,1500,True,True,0.8166666666666667,0.22283438211840026,,,,
subtraction,none,none,1,True,scratch,,0.0,0.0,33.0,1500,True,True,0.81,0.2860749286744156,,,,
subtraction,none,none,2,True,scratch,,0.0,0.0,40.0,1500,True,True,0.9466666666666667,0.08619056611667543,,,,
subtraction,none,none,3,True,scratch,,0.0,0.0,30.0,1500,True,True,0.8733333333333333,0.12219783043800847,,,,
subtraction,none,none,4,True,scratch,,0.0,0.0,26.0,1500,True,True,0.8933333333333333,0.11079462462238113,,,,
subtraction,none,none,5,True,scratch,,0.0,0.0,43.0,1500,True,True,0.79,0.22211690305076512,,,,
subtraction,none,none,6,True,scratch,,0.0,0.0,44.0,1500,True,True,0.8733333333333333,0.10999546874268457,,,,
subtraction,none,none,7,True,scratch,,0.0,0.0,38.0,1500,True,True,0.91,0.08892856857574004,,,,
subtraction,none,none,8,True,scratch,,0.0,0.0,23.0,1500,True,True,0.8466666666666667,0.1255978226272875,,,,
subtraction,none,none,9,True,scratch,,0.0,0.0,30.0,1500,True,True,0.82,0.23078910960717366,,,,
subtraction,none,none,10,True,scratch,,0.0,0.0,43.0,1500,True,True,0.87,0.13311118517827314,,,,
subtraction,none,none,11,True,scratch,,0.0,0.0,23.0,1500,True,True,0.8033333333333333,0.17603251495286495,,,,
subtraction,none,none,12,True,scratch,,0.0,0.0,24.0,1500,True,True,0.8966666666666666,0.12210053815215817,,,,
subtraction,none,none,13,True,scratch,,0.0,0.0,40.0,1500,True,True,0.85,0.14418517968078573,,,,
subtraction,none,none,14,True,scratch,,0.0,0.0,44.0,1500,True,True,0.8666666666666667,0.11851506928691606,,,,
subtraction,addition,addition,0,True,scratch,,0.12278687279697012,0.125,41.0,1500,True,True,0.8433333333333334,0.10549309025124304,328.0,True,,
subtraction,addition,addition,1,True,scratch,,0.13807756302525157,0.0625,50.0,1500,True,True,0.83,0.1140364110000111,351.0,True,,
subtraction,addition,addition,2,True,scratch,,0.1375197570536821,0.078125,38.0,1500,True,True,0.8966666666666666,0.08744822368426895,331.0,True,,
subtraction,addition,addition,3,True,clone,addition,0.1778497238307017,0.09375,121.0,1500,True,True,0.8266666666666667,0.16747201197997272,307.0,True,,
subtraction,addition,addition,4,True,clone,addition,0.21396495049107397,0.0625,96.0,1500,True,True,0.8533333333333334,0.12267629774201613,271.0,True,,
subtraction,addition,addition,5,True,scratch,,0.142109331511835,0.046875,22.0,1500,True,True,0.83,0.1457195198281093,273.0,True,,
subtraction,addition,addition,6,True,scratch,,0.13883260156152058,0.09375,50.0,1500,True,True,0.89,0.10643935602709194,278.0,True,,
subtraction,addition,addition,7,True,clone,addition,0.16295395646651945,0.109375,99.0,1500,True,True,0.8833333333333333,0.11977732334988173,305.0,True,,
subtraction,addition,addition,8,True,clone,addition,0.16380315864906397,0.046875,110.0,1500,True,True,0.8433333333333334,0.21435431268722907,292.0,True,,
subtraction,addition,addition,9,True,scratch,,0.133290153067988,0.09375,27.0,1500,True,True,0.81,0.20740210967114472,325.0,True,,
subtraction,addition,addition,10,True,clone,addition,0.1781251488573164,0.109375,100.0,1500,True,True,0.85,0.13133924339080713,249.0,True,,
subtraction,addition,addition,11,True,scratch,,0.13754114321189986,0.125,21.0,1500,True,True,0.84,0.18712214346564013,297.0,True,,
subtraction,addition,addition,12,True,scratch,,0.12872289079104934,0.0625,29.0,1500,True,True,0.8833333333333333,0.1233180896419459,376.0,True,,
subtraction,addition,addition,13,True,scratch,,0.13292727897301082,0.0625,25.0,1500,True,True,0.84,0.12939613671745173,283.0,True,,
subtraction,addition,addition,14,True,clone,addition,0.17482543094495484,0.109375,106.0,1500,True,True,0.8833333333333333,0.15894650560700777,310.0,True,,
subtraction,addition+multiplication,addition+multiplication,0,True,scratch,,0.11438609019157576,0.046875,51.0,1500,True,True,0.7966666666666666,0.15457655381788013,253.0,True,1333.0,True
subtraction,addition+multiplication,addition+multiplication,1,True,clone,addition,0.1571921983102707,0.03125,95.0,1500,True,True,0.8066666666666666,0.1847127576317231,303.0,True,1109.0,True
subtraction,addition+multiplication,addition+multiplication,2,True,scratch,,0.14036259624945158,0.109375,42.0,1500,True,True,0.86,0.13204911664239388,228.0,True,1193.0,True
subtraction,addition+multiplication,addition+multiplication,3,True,scratch,,0.14671102100227382,0.0625,28.0,1500,True,True,0.8266666666666667,0.1585044071650056,299.0,True,1250.0,True
subtraction,addition+multiplication,addition+multiplication,4,True,clone,addition,0.15433396835293503,0.109375,96.0,1500,True,True,0.89,0.12284566103037939,335.0,True,1222.0,True
subtraction,addition+multiplication,addition+multiplication,5,True,clone,addition,0.17849404911639694,0.0625,85.0,1500,True,True,0.8866666666666667,0.11335826404373096,291.0,True,1347.0,True
subtraction,addition+multiplication,addition+multiplication,6,True,scratch,,0.13923262461140853,0.0625,46.0,1500,True,True,0.8766666666666667,0.1388882397436058,247.0,True,1250.0,True
subtraction,addition+multiplication,addition+multiplication,7,True,scratch,,0.12365445289062899,0.078125,48.0,1500,True,True,0.95,0.08731078180894945,297.0,True,1369.0,True
subtraction,addition+multiplication,addition+multiplication,8,True,clone,addition,0.2656345466819717,0.046875,90.0,1500,True,True,0.88,0.1263964609641243,280.0,True,1288.0,True
subtraction,addition+multiplication,addition+multiplication,9,True,clone,addition,0.20832272317103087,0.0625,85.0,1500,True,True,0.8733333333333333,0.11770624702832871,276.0,True,1169.0,True
subtraction,addition+multiplication,addition+multiplication,10,True,clone,addition,0.15260720004061493,0.0625,103.0,1500,True,True,0.8133333333333334,0.16654045943088874,301.0,True,1100.0,True
subtraction,addition+multiplication,addition+multiplication,11,True,clone,addition,0.15042081373646526,0.03125,80.0,1500,True,True,0.9066666666666666,0.12104195711930432,266.0,True,1212.0,True
subtraction,addition+multiplication,addition+multiplication,12,True,clone,addition,0.21844105580729936,0.03125,99.0,1500,True,True,0.85,0.14405242300137103,274.0,True,1140.0,True
subtraction,addition+multiplication,addition+multiplication,13,True,scratch,,0.13640120348560075,0.03125,28.0,1500,True,True,0.8333333333333334,0.1418077994186486,259.0,True,1158.0,True
subtraction,addition+multiplication,addition+multiplication,14,True,clone,addition,0.1840035932186237,0.09375,122.0,1500,True,True,0.7433333333333333,0.24294567798646863,291.0,True,1266.0,True
division,none,none,0,True,scratch,,0.0,0.0,479.0,1500,True,True,0.78,0.3160804893355383,,,,
division,none,none,1,True,scratch,,0.0,0.0,542.0,1500,True,True,0.8333333333333334,0.2607952277273924,,,,
division,none,none,2,True,scratch,,0.0,0.0,473.0,1500,True,True,0.7866666666666666,0.23241495167850265,,,,
division,none,none,3,True,scratch,,0.0,0.0,445.0,1500,True,True,0.77,0.38328037320854613,,,,
division,none,none,4,True,scratch,,0.0,0.0,624.0,1500,True,True,0.8466666666666667,0.14755695803751057,,,,
division,none,none,5,True,scratch,,0.0,0.0,473.0,1500,True,True,0.8233333333333334,0.3184733488925056,,,,
division,none,none,6,True,scratch,,0.0,0.0,513.0,1500,True,True,0.7933333333333333,0.29486857969238706,,,,
division,none,none,7,True,scratch,,0.0,0.0,491.0,1500,True,True,0.8566666666666667,0.1792944583651525,,,,
division,none,none,8,True,scratch,,0.0,0.0,555.0,1500,True,True,0.8466666666666667,0.24769821953225452,,,,
division,none,none,9,True,scratch,,0.0,0.0,430.0,1500,True,True,0.8033333333333333,0.2820874114223834,,,,
division,none,none,10,True,scratch,,0.0,0.0,457.0,1500,True,True,0.8366666666666667,0.19591532048394075,,,,
division,none,none,11,True,scratch,,0.0,0.0,518.0,1500,True,True,0.83,0.24664600296530537,,,,
division,none,none,12,True,scratch,,0.0,0.0,448.0,1500,True,True,0.7733333333333333,0.27616850997631126,,,,
division,none,none,13,True,scratch,,0.0,0.0,626.0,1500,True,True,0.8866666666666667,0.1274126599658885,,,,
division,none,none,14,True,scratch,,0.0,0.0,654.0,1500,True,True,0.84,0.14953691813769523,,,,
division,addition,addition,0,True,clone,addition,0.28191664315898307,0.0,575.0,1500,True,True,0.8266666666666667,0.2289324607698392,279.0,True,,
division,addition,addition,1,True,clone,addition,0.3078292621368057,0.046875,587.0,1500,True,True,0.81,0.24181370475729627,236.0,True,,
division,addition,addition,2,True,clone,addition,0.355349167836894,0.0,661.0,1500,True,True,0.7966666666666666,0.21570014354749692,358.0,True,,
division,addition,addition,3,True,clone,addition,0.3245185128780009,0.03125,550.0,1500,True,True,0.8533333333333334,0.17085923640312614,315.0,True,,
division,addition,addition,4,True,clone,addition,0.284540240466696,0.046875,661.0,1500,True,True,0.84,0.1547561710957705,274.0,True,,
division,addition,addition,5,True,clone,addition,0.3629389586554103,0.015625,511.0,1500,True,True,0.8533333333333334,0.3256219962755989,269.0,True,,
division,addition,addition,6,True,clone,addition,0.3605499138928614,0.0,560.0,1500,True,True,0.8466666666666667,0.1944015770842613,254.0,True,,
division,addition,addition,7,True,clone,addition,0.32512650973474666,0.015625,602.0,1500,True,True,0.84,0.24442231257631902,216.0,True,,
division,addition,addition,8,True,clone,addition,0.3471494336944149,0.03125,594.0,1500,True,True,0.8566666666666667,0.13973502504379287,314.0,True,,
division,addition,addition,9,True,clone,addition,0.33432492537341874,0.015625,805.0,1500,True,True,0.8166666666666667,0.15967532121894687,282.0,True,,
division,addition,addition,10,True,clone,addition,0.34523577241269393,0.046875,491.0,1500,True,True,0.79,0.4744270763750681,214.0,True,,
division,addition,addition,11,True,clone,addition,0.38253720467647945,0.03125,698.0,1500,True,True,0.8133333333333334,0.18399558670364907,305.0,True,,
division,addition,addition,12,True,clone,addition,0.2842988232802196,0.0,769.0,1500,True,True,0.81,0.2592761875746987,351.0,True,,
division,addition,addition,13,True,clone,addition,0.3694419360763812,0.046875,599.0,1500,True,True,0.9033333333333333,0.1109976010346535,242.0,True,,
