target_task,prior_history,n_seeds,prior_history_valid,prerequisite_failures,target_attempts,acquisition_successes,acquisition_success_rate,mean_adaptation_steps,std_adaptation_steps,mean_heldout_accuracy,std_heldout_accuracy,mean_heldout_mse,std_heldout_mse,reuse_count,clone_count,scratch_count,prerequisite_failed_count
subtraction,none,15,15,0,15,15,1.0,33.46666666666667,8.675636383958624,0.8577777777777776,0.044125842168619804,0.15329764612163535,0.06003539173493602,0,0,15,0
subtraction,addition,15,15,0,15,15,1.0,62.333333333333336,37.756109565523424,0.8535555555555555,0.026946939828811092,0.14139605166958807,0.03811346732896855,0,6,9,0
subtraction,addition+multiplication,15,15,0,15,15,1.0,73.2,29.83813475595091,0.8528888888888889,0.051096961464449836,0.14351578712218685,0.036426777812140376,0,9,6,0
division,none,15,15,0,15,15,1.0,515.2,71.33542498046013,0.8204444444444444,0.034384997343725986,0.24388196196142103,0.07268661847882375,0,0,15,0
division,addition,15,15,0,15,15,1.0,616.2,88.16883155142102,0.8322222222222222,0.028748130834108612,0.22776858546147985,0.09131247041695158,0,15,0,0
division,addition+multiplication,15,14,1,14,14,1.0,621.7857142857143,73.121793627459,0.8183333333333334,0.044525033772908396,0.22882666496308787,0.10385255861186442,0,14,0,1
squares,none,15,15,0,15,3,0.2,1486.7333333333333,33.673785197447124,0.7744444444444444,0.049835708920390444,0.20665166269000868,0.07035598044586329,0,0,15,0
squares,addition,15,15,0,15,3,0.2,1490.0,23.33299319479975,0.7771111111111112,0.04858092032995897,0.20836154067324428,0.03828233467101067,0,0,15,0
squares,addition+multiplication,15,15,0,15,2,0.13333333333333333,1499.2,2.2424476423255526,0.7548888888888888,0.06802038287728529,0.2060759335236257,0.052070391708748914,0,0,15,0
powers,none,15,15,0,15,15,1.0,471.6,63.65846369494005,0.857111111111111,0.028026820110434333,0.24905281307326244,0.14760304900760532,0,0,15,0
powers,addition,15,15,0,15,15,1.0,355.2,28.213978298506067,0.8819999999999999,0.030441200151548994,0.1934643086181314,0.05776045039091679,0,15,0,0
powers,addition+multiplication,15,15,0,15,15,1.0,237.33333333333334,64.40238090836911,0.8748888888888888,0.04078333511718264,0.16945320727359547,0.07070394802838818,0,15,0,0
