sequence,sequence_index,seed,stage,new_task,evaluated_skill,skill_stage,is_retention_check,strategy,source_task,compatibility_score,solve_accuracy,adaptation_steps,new_skill_acquisition_success,pre_accuracy,post_accuracy,retention_delta,retention_ratio,retention_pass
addition→multiplication→division,0,0,0,addition,addition,0,False,scratch,,0.0,0.0,256,True,0.8566666666666667,0.8566666666666667,0.0,1.0,True
addition→multiplication→division,0,0,1,multiplication,addition,0,True,scratch,,0.0005264067358913908,0.03125,1133,True,0.8566666666666667,0.8566666666666667,0.0,1.0,True
addition→multiplication→division,0,0,1,multiplication,multiplication,1,False,scratch,,0.0005264067358913908,0.03125,1133,True,0.7966666666666666,0.7966666666666666,0.0,1.0,True
addition→multiplication→division,0,0,2,division,addition,0,True,clone,addition,0.2948434591901739,0.015625,615,True,0.8566666666666667,0.8566666666666667,0.0,1.0,True
addition→multiplication→division,0,0,2,division,multiplication,1,True,clone,addition,0.2948434591901739,0.015625,615,True,0.7966666666666666,0.7966666666666666,0.0,1.0,True
addition→multiplication→division,0,0,2,division,division,2,False,clone,addition,0.2948434591901739,0.015625,615,True,0.82,0.82,0.0,1.0,True
addition→multiplication→division,0,1,0,addition,addition,0,False,scratch,,0.0,0.0,258,True,0.8666666666666667,0.8666666666666667,0.0,1.0,True
addition→multiplication→division,0,1,1,multiplication,addition,0,True,scratch,,0.005389208646835028,0.015625,1053,True,0.8666666666666667,0.8666666666666667,0.0,1.0,True
addition→multiplication→division,0,1,1,multiplication,multiplication,1,False,scratch,,0.005389208646835028,0.015625,1053,True,0.8066666666666666,0.8066666666666666,0.0,1.0,True
addition→multiplication→division,0,1,2,division,addition,0,True,clone,addition,0.32872062666215063,0.015625,771,True,0.8666666666666667,0.8666666666666667,0.0,1.0,True
addition→multiplication→division,0,1,2,division,multiplication,1,True,clone,addition,0.32872062666215063,0.015625,771,True,0.8066666666666666,0.8066666666666666,0.0,1.0,True
addition→multiplication→division,0,1,2,division,division,2,False,clone,addition,0.32872062666215063,0.015625,771,True,0.77,0.77,0.0,1.0,True
addition→multiplication→division,0,2,0,addition,addition,0,False,scratch,,0.0,0.0,289,True,0.84,0.84,0.0,1.0,True
addition→multiplication→division,0,2,1,multiplication,addition,0,True,scratch,,0.0014547918324844921,0.015625,1033,True,0.84,0.84,0.0,1.0,True
addition→multiplication→division,0,2,1,multiplication,multiplication,1,False,scratch,,0.0014547918324844921,0.015625,1033,True,0.81,0.81,0.0,1.0,True
addition→multiplication→division,0,2,2,division,addition,0,True,clone,addition,0.35696476587177295,0.03125,698,True,0.84,0.84,0.0,1.0,True
addition→multiplication→division,0,2,2,division,multiplication,1,True,clone,addition,0.35696476587177295,0.03125,698,True,0.81,0.81,0.0,1.0,True
addition→multiplication→division,0,2,2,division,division,2,False,clone,addition,0.35696476587177295,0.03125,698,True,0.83,0.83,0.0,1.0,True
addition→multiplication→division,0,3,0,addition,addition,0,False,scratch,,0.0,0.0,259,True,0.8566666666666667,0.8566666666666667,0.0,1.0,True
addition→multiplication→division,0,3,1,multiplication,addition,0,True,scratch,,0.00027446174572617725,0.03125,1210,True,0.8566666666666667,0.8566666666666667,0.0,1.0,True
addition→multiplication→division,0,3,1,multiplication,multiplication,1,False,scratch,,0.00027446174572617725,0.03125,1210,True,0.8633333333333333,0.8633333333333333,0.0,1.0,True
addition→multiplication→division,0,3,2,division,addition,0,True,clone,addition,0.38617879251820936,0.015625,550,True,0.8566666666666667,0.8566666666666667,0.0,1.0,True
addition→multiplication→division,0,3,2,division,multiplication,1,True,clone,addition,0.38617879251820936,0.015625,550,True,0.8633333333333333,0.8633333333333333,0.0,1.0,True
addition→multiplication→division,0,3,2,division,division,2,False,clone,addition,0.38617879251820936,0.015625,550,True,0.8166666666666667,0.8166666666666667,0.0,1.0,True
addition→multiplication→division,0,4,0,addition,addition,0,False,scratch,,0.0,0.0,281,True,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,4,1,multiplication,addition,0,True,scratch,,0.00043846423264532836,0.046875,1272,True,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,4,1,multiplication,multiplication,1,False,scratch,,0.00043846423264532836,0.046875,1272,True,0.8,0.8,0.0,1.0,True
addition→multiplication→division,0,4,2,division,addition,0,True,clone,addition,0.2930172584076628,0.015625,555,True,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,4,2,division,multiplication,1,True,clone,addition,0.2930172584076628,0.015625,555,True,0.8,0.8,0.0,1.0,True
addition→multiplication→division,0,4,2,division,division,2,False,clone,addition,0.2930172584076628,0.015625,555,True,0.8433333333333334,0.8433333333333334,0.0,1.0,True
addition→multiplication→division,0,5,0,addition,addition,0,False,scratch,,0.0,0.0,266,True,0.82,0.82,0.0,1.0,True
addition→multiplication→division,0,5,1,multiplication,addition,0,True,scratch,,0.001480795684968386,0.015625,1369,True,0.82,0.82,0.0,1.0,True
addition→multiplication→division,0,5,1,multiplication,multiplication,1,False,scratch,,0.001480795684968386,0.015625,1369,True,0.8966666666666666,0.8966666666666666,0.0,1.0,True
addition→multiplication→division,0,5,2,division,addition,0,True,clone,addition,0.2956985402604273,0.046875,865,True,0.82,0.82,0.0,1.0,True
addition→multiplication→division,0,5,2,division,multiplication,1,True,clone,addition,0.2956985402604273,0.046875,865,True,0.8966666666666666,0.8966666666666666,0.0,1.0,True
addition→multiplication→division,0,5,2,division,division,2,False,clone,addition,0.2956985402604273,0.046875,865,True,0.8233333333333334,0.8233333333333334,0.0,1.0,True
addition→multiplication→division,0,6,0,addition,addition,0,False,scratch,,0.0,0.0,292,True,0.8466666666666667,0.8466666666666667,0.0,1.0,True
addition→multiplication→division,0,6,1,multiplication,addition,0,True,scratch,,0.0001499362859274962,0.015625,1301,True,0.8466666666666667,0.8466666666666667,0.0,1.0,True
addition→multiplication→division,0,6,1,multiplication,multiplication,1,False,scratch,,0.0001499362859274962,0.015625,1301,True,0.7733333333333333,0.7733333333333333,0.0,1.0,True
addition→multiplication→division,0,6,2,division,addition,0,True,clone,addition,0.28985592228772805,0.0,638,True,0.8466666666666667,0.8466666666666667,0.0,1.0,True
addition→multiplication→division,0,6,2,division,multiplication,1,True,clone,addition,0.28985592228772805,0.0,638,True,0.7733333333333333,0.7733333333333333,0.0,1.0,True
addition→multiplication→division,0,6,2,division,division,2,False,clone,addition,0.28985592228772805,0.0,638,True,0.8966666666666666,0.8966666666666666,0.0,1.0,True
addition→multiplication→division,0,7,0,addition,addition,0,False,scratch,,0.0,0.0,292,True,0.8566666666666667,0.8566666666666667,0.0,1.0,True
addition→multiplication→division,0,7,1,multiplication,addition,0,True,scratch,,0.0009080346862148714,0.03125,1193,True,0.8566666666666667,0.8566666666666667,0.0,1.0,True
addition→multiplication→division,0,7,1,multiplication,multiplication,1,False,scratch,,0.0009080346862148714,0.03125,1193,True,0.85,0.85,0.0,1.0,True
addition→multiplication→division,0,7,2,division,addition,0,True,clone,addition,0.34057641254511917,0.015625,634,True,0.8566666666666667,0.8566666666666667,0.0,1.0,True
addition→multiplication→division,0,7,2,division,multiplication,1,True,clone,addition,0.34057641254511917,0.015625,634,True,0.85,0.85,0.0,1.0,True
addition→multiplication→division,0,7,2,division,division,2,False,clone,addition,0.34057641254511917,0.015625,634,True,0.8766666666666667,0.8766666666666667,0.0,1.0,True
addition→multiplication→division,0,8,0,addition,addition,0,False,scratch,,0.0,0.0,216,True,0.83,0.83,0.0,1.0,True
addition→multiplication→division,0,8,1,multiplication,addition,0,True,scratch,,0.0027593796291359965,0.046875,1215,True,0.83,0.83,0.0,1.0,True
addition→multiplication→division,0,8,1,multiplication,multiplication,1,False,scratch,,0.0027593796291359965,0.046875,1215,True,0.8033333333333333,0.8033333333333333,0.0,1.0,True
addition→multiplication→division,0,8,2,division,addition,0,True,clone,addition,0.3268448957639538,0.03125,669,True,0.83,0.83,0.0,1.0,True
addition→multiplication→division,0,8,2,division,multiplication,1,True,clone,addition,0.3268448957639538,0.03125,669,True,0.8033333333333333,0.8033333333333333,0.0,1.0,True
addition→multiplication→division,0,8,2,division,division,2,False,clone,addition,0.3268448957639538,0.03125,669,True,0.8766666666666667,0.8766666666666667,0.0,1.0,True
addition→multiplication→division,0,9,0,addition,addition,0,False,scratch,,0.0,0.0,344,True,0.8366666666666667,0.8366666666666667,0.0,1.0,True
addition→multiplication→division,0,9,1,multiplication,addition,0,True,scratch,,0.0002855818895286453,0.046875,1212,True,0.8366666666666667,0.8366666666666667,0.0,1.0,True
addition→multiplication→division,0,9,1,multiplication,multiplication,1,False,scratch,,0.0002855818895286453,0.046875,1212,True,0.84,0.84,0.0,1.0,True
addition→multiplication→division,0,9,2,division,addition,0,True,clone,addition,0.33016973771654706,0.0,520,True,0.8366666666666667,0.8366666666666667,0.0,1.0,True
addition→multiplication→division,0,9,2,division,multiplication,1,True,clone,addition,0.33016973771654706,0.0,520,True,0.84,0.84,0.0,1.0,True
addition→multiplication→division,0,9,2,division,division,2,False,clone,addition,0.33016973771654706,0.0,520,True,0.7966666666666666,0.7966666666666666,0.0,1.0,True
addition→multiplication→division,0,10,0,addition,addition,0,False,scratch,,0.0,0.0,270,True,0.86,0.86,0.0,1.0,True
addition→multiplication→division,0,10,1,multiplication,addition,0,True,scratch,,0.004953113149959802,0.015625,1058,True,0.86,0.86,0.0,1.0,True
addition→multiplication→division,0,10,1,multiplication,multiplication,1,False,scratch,,0.004953113149959802,0.015625,1058,True,0.8066666666666666,0.8066666666666666,0.0,1.0,True
addition→multiplication→division,0,10,2,division,addition,0,True,clone,addition,0.2861407979079366,0.0,590,True,0.86,0.86,0.0,1.0,True
addition→multiplication→division,0,10,2,division,multiplication,1,True,clone,addition,0.2861407979079366,0.0,590,True,0.8066666666666666,0.8066666666666666,0.0,1.0,True
addition→multiplication→division,0,10,2,division,division,2,False,clone,addition,0.2861407979079366,0.0,590,True,0.8833333333333333,0.8833333333333333,0.0,1.0,True
addition→multiplication→division,0,11,0,addition,addition,0,False,scratch,,0.0,0.0,246,True,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,11,1,multiplication,addition,0,True,scratch,,0.0008154730231797662,0.03125,1134,True,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,11,1,multiplication,multiplication,1,False,scratch,,0.0008154730231797662,0.03125,1134,True,0.6966666666666667,0.6966666666666667,0.0,1.0,True
addition→multiplication→division,0,11,2,division,addition,0,True,clone,addition,0.353301688843274,0.0,558,True,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,11,2,division,multiplication,1,True,clone,addition,0.353301688843274,0.0,558,True,0.6966666666666667,0.6966666666666667,0.0,1.0,True
addition→multiplication→division,0,11,2,division,division,2,False,clone,addition,0.353301688843274,0.0,558,True,0.8533333333333334,0.8533333333333334,0.0,1.0,True
addition→multiplication→division,0,12,0,addition,addition,0,False,scratch,,0.0,0.0,221,True,0.84,0.84,0.0,1.0,True
addition→multiplication→division,0,12,1,multiplication,addition,0,True,scratch,,0.00035052154917935505,0.03125,1094,True,0.84,0.84,0.0,1.0,True
addition→multiplication→division,0,12,1,multiplication,multiplication,1,False,scratch,,0.00035052154917935505,0.03125,1094,True,0.8466666666666667,0.8466666666666667,0.0,1.0,True
addition→multiplication→division,0,12,2,division,addition,0,True,clone,addition,0.3869068522874972,0.03125,578,True,0.84,0.84,0.0,1.0,True
addition→multiplication→division,0,12,2,division,multiplication,1,True,clone,addition,0.3869068522874972,0.03125,578,True,0.8466666666666667,0.8466666666666667,0.0,1.0,True
addition→multiplication→division,0,12,2,division,division,2,False,clone,addition,0.3869068522874972,0.03125,578,True,0.8433333333333334,0.8433333333333334,0.0,1.0,True
addition→multiplication→division,0,13,0,addition,addition,0,False,scratch,,0.0,0.0,296,True,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,13,1,multiplication,addition,0,True,scratch,,0.003986059516718466,0.03125,1500,False,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,13,2,division,addition,0,True,clone,addition,0.32256949488563086,0.015625,830,True,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,13,2,division,division,2,False,clone,addition,0.32256949488563086,0.015625,830,True,0.8266666666666667,0.8266666666666667,0.0,1.0,True
addition→multiplication→division,0,14,0,addition,addition,0,False,scratch,,0.0,0.0,249,True,0.7966666666666666,0.7966666666666666,0.0,1.0,True
addition→multiplication→division,0,14,1,multiplication,addition,0,True,scratch,,0.0024036599735445825,0.046875,1029,True,0.7966666666666666,0.7966666666666666,0.0,1.0,True
addition→multiplication→division,0,14,1,multiplication,multiplication,1,False,scratch,,0.0024036599735445825,0.046875,1029,True,0.8033333333333333,0.8033333333333333,0.0,1.0,True
addition→multiplication→division,0,14,2,division,addition,0,True,clone,addition,0.3429137670808162,0.015625,654,True,0.7966666666666666,0.7966666666666666,0.0,1.0,True
addition→multiplication→division,0,14,2,division,multiplication,1,True,clone,addition,0.3429137670808162,0.015625,654,True,0.8033333333333333,0.8033333333333333,0.0,1.0,True
addition→multiplication→division,0,14,2,division,division,2,False,clone,addition,0.3429137670808162,0.015625,654,True,0.8633333333333333,0.8633333333333333,0.0,1.0,True
addition→multiplication→squares,1,0,0,addition,addition,0,False,scratch,,0.0,0.0,309,True,0.8666666666666667,0.8666666666666667,0.0,1.0,True
addition→multiplication→squares,1,0,1,multiplication,addition,0,True,scratch,,0.0016345437001781405,0.015625,1172,True,0.8666666666666667,0.8666666666666667,0.0,1.0,True
addition→multiplication→squares,1,0,1,multiplication,multiplication,1,False,scratch,,0.0016345437001781405,0.015625,1172,True,0.7966666666666666,0.7966666666666666,0.0,1.0,True
addition→multiplication→squares,1,0,2,squares,addition,0,True,scratch,,0.000136455178385635,0.109375,1500,False,0.8666666666666667,0.8666666666666667,0.0,1.0,True
addition→multiplication→squares,1,0,2,squares,multiplication,1,True,scratch,,0.000136455178385635,0.109375,1500,False,0.7966666666666666,0.7966666666666666,0.0,1.0,True
addition→multiplication→squares,1,1,0,addition,addition,0,False,scratch,,0.0,0.0,183,True,0.7933333333333333,0.7933333333333333,0.0,1.0,True
addition→multiplication→squares,1,1,1,multiplication,addition,0,True,scratch,,7.451690798611483e-05,0.046875,1009,True,0.7933333333333333,0.7933333333333333,0.0,1.0,True
addition→multiplication→squares,1,1,1,multiplication,multiplication,1,False,scratch,,7.451690798611483e-05,0.046875,1009,True,0.8533333333333334,0.8533333333333334,0.0,1.0,True
addition→multiplication→squares,1,1,2,squares,addition,0,True,scratch,,1.7519235379521334e-05,0.109375,1500,False,0.7933333333333333,0.7933333333333333,0.0,1.0,True
addition→multiplication→squares,1,1,2,squares,multiplication,1,True,scratch,,1.7519235379521334e-05,0.109375,1500,False,0.8533333333333334,0.8533333333333334,0.0,1.0,True
