domain,target_task,prior_history,n_seeds,prior_history_valid,prerequisite_failures,target_attempts,acquisition_successes,acquisition_success_rate,mean_adaptation_steps,std_adaptation_steps,mean_heldout_accuracy,std_heldout_accuracy,reuse_count,clone_count,scratch_count,prerequisite_failed_count
nonnegative,subtraction,none,15,15,0,15,15,1.0,33.46666666666667,8.675636383958624,0.8577777777777776,0.044125842168619804,0,0,15,0
signed,subtraction,none,15,15,0,15,15,1.0,117.46666666666667,20.808194356573864,0.8135555555555556,0.036459733533203025,0,0,15,0
nonnegative,subtraction,addition,15,15,0,15,15,1.0,62.333333333333336,37.756109565523424,0.8535555555555555,0.026946939828811092,0,6,9,0
signed,subtraction,addition,15,15,0,15,15,1.0,133.53333333333333,24.207043445678213,0.8137777777777778,0.04320248866043513,0,5,10,0
nonnegative,subtraction,addition+multiplication,15,15,0,15,15,1.0,73.2,29.83813475595091,0.8528888888888889,0.051096961464449836,0,9,6,0
signed,subtraction,addition+multiplication,15,8,7,8,8,1.0,136.5,27.67154288640743,0.8195833333333333,0.015979898086569362,0,1,7,7
nonnegative,division,none,15,15,0,15,15,1.0,515.2,71.33542498046013,0.8204444444444444,0.034384997343725986,0,0,15,0
signed,division,none,15,15,0,15,15,1.0,710.4,105.43908193834012,0.7875555555555555,0.04083390022282231,0,0,15,0
nonnegative,division,addition,15,15,0,15,15,1.0,616.2,88.16883155142102,0.8322222222222222,0.028748130834108612,0,15,0,0
signed,division,addition,15,15,0,15,15,1.0,734.0666666666667,135.07112764691615,0.8071111111111111,0.046202911106433486,0,0,15,0
nonnegative,division,addition+multiplication,15,14,1,14,14,1.0,621.7857142857143,73.121793627459,0.8183333333333334,0.044525033772908396,0,14,0,1
signed,division,addition+multiplication,15,6,9,6,6,1.0,693.6666666666666,87.42920945923431,0.8116666666666665,0.03787406031104198,0,0,6,9
nonnegative,squares,none,15,15,0,15,3,0.2,1486.7333333333333,33.673785197447124,0.7744444444444444,0.049835708920390444,0,0,15,0
signed,squares,none,15,15,0,15,0,0.0,1500.0,0.0,0.11644444444444445,0.07188468131255371,0,0,15,0
nonnegative,squares,addition,15,15,0,15,3,0.2,1490.0,23.33299319479975,0.7771111111111112,0.04858092032995897,0,0,15,0
signed,squares,addition,15,15,0,15,0,0.0,1500.0,0.0,0.07866666666666668,0.1030780256169052,0,0,15,0
nonnegative,squares,addition+multiplication,15,15,0,15,2,0.13333333333333333,1499.2,2.2424476423255526,0.7548888888888888,0.06802038287728529,0,0,15,0
signed,squares,addition+multiplication,15,12,3,12,0,0.0,1500.0,0.0,0.07861111111111112,0.07826990769879859,0,0,12,3
nonnegative,powers,none,15,15,0,15,15,1.0,471.6,63.65846369494005,0.857111111111111,0.028026820110434333,0,0,15,0
signed,powers,none,15,15,0,15,15,1.0,573.6666666666666,78.35784824095401,0.8402222222222223,0.0376590103189271,0,0,15,0
nonnegative,powers,addition,15,15,0,15,15,1.0,355.2,28.213978298506067,0.8819999999999999,0.030441200151548994,0,15,0,0
signed,powers,addition,15,15,0,15,15,1.0,575.9333333333333,62.89727074100009,0.8631111111111112,0.035174545871250094,0,15,0,0
nonnegative,powers,addition+multiplication,15,15,0,15,15,1.0,237.33333333333334,64.40238090836911,0.8748888888888888,0.04078333511718264,0,15,0,0
signed,powers,addition+multiplication,15,10,5,10,10,1.0,572.0,90.15911859965506,0.841,0.016333711257910426,0,10,0,5
