domain,pair,relatedness_label,source_task,target_task,seed,relatedness_score,solve_accuracy,parent_epochs,parent_reached,pair_valid,clone_epochs,clone_success,scratch_epochs,scratch_success,speedup,clone_heldout_mse,scratch_heldout_mse
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,0,0.8976200162824879,0.265625,1198,True,True,338.0,True,450.0,True,1.331360946745562,0.09469732908535394,0.1797299017143764
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,1,0.9137010384883438,0.28125,1106,True,True,269.0,True,444.0,True,1.6505576208178439,0.13460324998827972,0.129424617503496
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,2,0.9345431735216045,0.140625,1147,True,True,219.0,True,492.0,True,2.2465753424657535,0.16841271166295083,0.16599660790897958
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,3,0.9460029817439195,0.359375,1129,True,True,375.0,True,593.0,True,1.5813333333333333,0.10865247617951752,0.08397699286894507
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,4,0.8795721045475224,0.140625,1240,True,True,168.0,True,426.0,True,2.5357142857142856,0.182156088136773,0.2283492196303885
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,5,0.9163230025642682,0.140625,1236,True,True,169.0,True,484.0,True,2.863905325443787,0.24066034107316284,0.1399871361114617
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,6,0.9302280540915411,0.375,1061,True,True,170.0,True,490.0,True,2.8823529411764706,0.3099946523332571,0.28632848384628473
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,7,0.9122702750762869,0.15625,937,True,True,241.0,True,430.0,True,1.7842323651452283,0.1429799024551512,0.4210024945289175
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,8,0.8997940367823097,0.34375,1226,True,True,180.0,True,458.0,True,2.5444444444444443,0.21412459179802848,0.20515294711507284
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,9,0.9444232132335189,0.125,1309,True,True,360.0,True,481.0,True,1.336111111111111,0.10142359651846242,0.13915531331043704
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,10,0.9328442443000745,0.078125,1338,True,True,206.0,True,473.0,True,2.296116504854369,0.16299637529472483,0.13609157261280022
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,11,0.8610249423177205,0.359375,1497,True,True,207.0,True,430.0,True,2.077294685990338,0.2203463278447462,0.19944998428226962
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,12,0.9164796800365056,0.140625,906,True,True,218.0,True,519.0,True,2.3807339449541285,0.12680183911710047,0.10181500879772307
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,13,0.9221601466346475,0.28125,1253,True,True,163.0,True,460.0,True,2.8220858895705523,0.18543048178635366,0.14058533028463133
nonnegative,multiplication->powers,moderate/strong,multiplication,powers,14,0.8644875617310883,0.3125,1192,True,True,257.0,True,583.0,True,2.2684824902723735,0.12136026517756854,0.14839053780384198
nonnegative,multiplication->squares,strong (structural),multiplication,squares,0,4.9998498859246295e-05,0.203125,1198,True,True,1264.0,True,1500.0,False,1.1867088607594938,0.195326837808967,0.1832844006366746
nonnegative,multiplication->squares,strong (structural),multiplication,squares,1,1.3052458807138177e-05,0.1875,1106,True,True,1306.0,True,1500.0,False,1.1485451761102603,0.13232626616957793,0.16080415074335383
nonnegative,multiplication->squares,strong (structural),multiplication,squares,2,6.571725604008263e-05,0.140625,1147,True,True,1189.0,True,1479.0,True,1.2439024390243902,0.23313585149354585,0.3190571575877839
nonnegative,multiplication->squares,strong (structural),multiplication,squares,3,0.0005694889174825949,0.125,1129,True,True,1309.0,True,1500.0,False,1.145912910618793,0.16413162110189258,0.18241806406146618
nonnegative,multiplication->squares,strong (structural),multiplication,squares,4,0.0024192843199749986,0.171875,1240,True,True,1302.0,True,1500.0,False,1.152073732718894,0.23490497848606642,0.14784661341253
nonnegative,multiplication->squares,strong (structural),multiplication,squares,5,0.00107656206981835,0.15625,1236,True,True,1264.0,True,1500.0,False,1.1867088607594938,0.22293501239095836,0.31921024706316076
nonnegative,multiplication->squares,strong (structural),multiplication,squares,6,0.00041819304431865186,0.109375,1061,True,True,1247.0,True,1500.0,False,1.202886928628709,0.13380222468785122,0.14038045176547384
nonnegative,multiplication->squares,strong (structural),multiplication,squares,7,1.1371695671603177e-05,0.109375,937,True,True,1019.0,True,1500.0,False,1.4720314033366044,0.1751970547153692,0.1759559976227028
nonnegative,multiplication->squares,strong (structural),multiplication,squares,8,0.0031521865200513535,0.1875,1226,True,True,1303.0,True,1500.0,False,1.1511895625479662,0.20735036894044603,0.33019120470082114
nonnegative,multiplication->squares,strong (structural),multiplication,squares,9,0.00010194213700647002,0.03125,1309,True,True,1409.0,True,1500.0,False,1.0645848119233499,0.17397048655428032,0.18563939417712302
nonnegative,multiplication->squares,strong (structural),multiplication,squares,10,0.0001782301221519562,0.09375,1338,True,True,1149.0,True,1500.0,False,1.3054830287206267,0.28026093901499605,0.21471304328493213
nonnegative,multiplication->squares,strong (structural),multiplication,squares,11,8.577481334809808e-05,0.109375,1497,True,True,872.0,True,1500.0,False,1.7201834862385321,0.1549275043885584,0.2029127984919917
nonnegative,multiplication->squares,strong (structural),multiplication,squares,12,7.28720498560347e-05,0.140625,906,True,True,1328.0,True,1500.0,False,1.1295180722891567,0.13940536482026328,0.14835805834069157
nonnegative,multiplication->squares,strong (structural),multiplication,squares,13,0.00010562894958078062,0.09375,1253,True,True,1155.0,True,1500.0,False,1.2987012987012987,0.1262018597619167,0.1532047758442233
nonnegative,multiplication->squares,strong (structural),multiplication,squares,14,0.0002339743976350725,0.109375,1192,True,True,1474.0,True,1431.0,True,0.9708276797829036,0.13749879941419277,0.18417773366380538
nonnegative,addition->subtraction,weak,addition,subtraction,0,0.20784448738120592,0.09375,306,True,True,104.0,True,25.0,True,0.2403846153846154,0.22235240652322044,0.1881321625220392
nonnegative,addition->subtraction,weak,addition,subtraction,1,0.1508254960949087,0.078125,353,True,True,98.0,True,23.0,True,0.23469387755102042,0.1315592606951439,0.13071280261573245
nonnegative,addition->subtraction,weak,addition,subtraction,2,0.19972585392916126,0.015625,263,True,True,116.0,True,48.0,True,0.41379310344827586,0.10295501163538574,0.131311495373871
nonnegative,addition->subtraction,weak,addition,subtraction,3,0.1640338088811101,0.09375,263,True,True,92.0,True,43.0,True,0.4673913043478261,0.15298959701291592,0.1397887091170446
nonnegative,addition->subtraction,weak,addition,subtraction,4,0.11549168879874804,0.109375,249,True,True,95.0,True,42.0,True,0.4421052631578947,0.1451453630695606,0.13478021248038258
nonnegative,addition->subtraction,weak,addition,subtraction,5,0.12422248986261557,0.03125,255,True,True,98.0,True,41.0,True,0.41836734693877553,0.1603028166042321,0.10228277888466351
nonnegative,addition->subtraction,weak,addition,subtraction,6,0.1861616066708966,0.09375,304,True,True,85.0,True,28.0,True,0.32941176470588235,0.10890868931044034,0.1713607901199885
nonnegative,addition->subtraction,weak,addition,subtraction,7,0.11494235767143884,0.09375,270,True,True,90.0,True,43.0,True,0.4777777777777778,0.11447215548566286,0.14247103718004378
nonnegative,addition->subtraction,weak,addition,subtraction,8,0.14916616853436368,0.09375,301,True,True,106.0,True,52.0,True,0.49056603773584906,0.221255193648059,0.08847804300674257
nonnegative,addition->subtraction,weak,addition,subtraction,9,0.19809804374179565,0.0625,243,True,True,100.0,True,41.0,True,0.41,0.15376062339437563,0.13505833578122198
nonnegative,addition->subtraction,weak,addition,subtraction,10,0.18200081674077973,0.03125,317,True,True,83.0,True,48.0,True,0.5783132530120482,0.11443447048124895,0.13202909258696796
nonnegative,addition->subtraction,weak,addition,subtraction,11,0.12193445439200981,0.046875,274,True,True,104.0,True,42.0,True,0.40384615384615385,0.1638940450943658,0.09034493950563338
nonnegative,addition->subtraction,weak,addition,subtraction,12,0.1555602675795453,0.015625,345,True,True,89.0,True,40.0,True,0.449438202247191,0.12830147298035213,0.08539401209897046
nonnegative,addition->subtraction,weak,addition,subtraction,13,0.13370112094047623,0.046875,354,True,True,95.0,True,25.0,True,0.2631578947368421,0.22749901630205527,0.20197416390969886
nonnegative,addition->subtraction,weak,addition,subtraction,14,0.16336908139673134,0.03125,282,True,True,95.0,True,47.0,True,0.49473684210526314,0.0995967314675828,0.10041280113936404
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,0,0.00015660343260695815,0.0625,306,True,True,975.0,True,1198.0,True,1.2287179487179487,0.6331268115812837,0.690331860532455
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,1,0.0014785083378363283,0.0,353,True,True,1022.0,True,1106.0,True,1.082191780821918,1.0956088822828447,1.5973114446869336
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,2,0.00037230107250842267,0.015625,263,True,True,1113.0,True,1147.0,True,1.0305480682839174,0.23496886874185444,0.28624626150905585
