task,quadrant,n,mean_abs_error,accuracy_tol_0.5,pair,seed
powers,"negative base, even exponent",593,0.5709230303354099,0.7386172006745363,multiplication->powers,3
powers,"negative base, odd exponent",306,1.0886350225920438,0.5130718954248366,multiplication->powers,3
powers,positive base,1101,0.11082855644043774,1.0,multiplication->powers,3
powers,"negative base, even exponent",596,0.5247306966028802,0.62751677852349,multiplication->powers,5
powers,"negative base, odd exponent",277,0.8099126605424536,0.7617328519855595,multiplication->powers,5
powers,positive base,1127,0.1634851249836245,1.0,multiplication->powers,5
powers,"negative base, even exponent",578,0.4114630274069146,0.8615916955017301,multiplication->powers,10
powers,"negative base, odd exponent",280,0.42012952521813046,0.75,multiplication->powers,10
powers,positive base,1142,0.30026654096323885,0.9378283712784589,multiplication->powers,10
powers,"negative base, even exponent",621,0.36490045557485035,0.7552334943639292,multiplication->powers,11
powers,"negative base, odd exponent",280,1.1240615732568224,0.49642857142857144,multiplication->powers,11
powers,positive base,1099,0.1856463042982225,1.0,multiplication->powers,11
powers,"negative base, even exponent",589,0.4922791354830467,0.735144312393888,multiplication->powers,14
powers,"negative base, odd exponent",278,0.6041248049454646,0.7841726618705036,multiplication->powers,14
powers,positive base,1133,0.17443862677231342,1.0,multiplication->powers,14
squares,negative base,939,0.41187882967611306,0.7667731629392971,multiplication->squares,3
squares,positive base,1061,0.5414190113387088,0.6691800188501413,multiplication->squares,3
squares,negative base,933,0.4185797505127708,0.8370846730975349,multiplication->squares,5
squares,positive base,1067,0.5283562682667209,0.6410496719775071,multiplication->squares,5
squares,negative base,948,0.46927407423091483,0.7710970464135021,multiplication->squares,10
squares,positive base,1052,0.48884764493693267,0.6758555133079848,multiplication->squares,10
squares,negative base,956,0.3751715416144979,0.8106694560669456,multiplication->squares,11
squares,positive base,1044,0.42383658208103386,0.75,multiplication->squares,11
squares,negative base,946,0.26846749984844903,0.8033826638477801,multiplication->squares,14
squares,positive base,1054,0.3321579673118822,0.8586337760910816,multiplication->squares,14
subtraction,"(+,+)",547,0.20512258858988777,0.9597806215722121,addition->subtraction,0
subtraction,"(+,-)",482,0.5653621504610722,0.5477178423236515,addition->subtraction,0
subtraction,"(-,+)",512,0.48338315226465467,0.765625,addition->subtraction,0
subtraction,"(-,-)",459,0.18427693822546076,0.9891067538126361,addition->subtraction,0
subtraction,"(+,+)",559,0.20619236503811444,0.9481216457960644,addition->subtraction,1
subtraction,"(+,-)",489,0.5337769313820772,0.5848670756646217,addition->subtraction,1
