seed,strategy,source_task,target_task,parent_epochs,epochs_to_85pct
0,clone,multiplication,squares,1090.0,1061
0,scratch,random,squares,,1500
1,clone,multiplication,squares,1020.0,1239
1,scratch,random,squares,,1458
2,clone,multiplication,squares,1134.0,1179
2,scratch,random,squares,,1500
3,clone,multiplication,squares,1500.0,1295
3,scratch,random,squares,,1500
4,clone,multiplication,squares,1131.0,1012
4,scratch,random,squares,,1500
5,clone,multiplication,squares,1302.0,1228
5,scratch,random,squares,,1500
6,clone,multiplication,squares,1203.0,1079
6,scratch,random,squares,,1500
7,clone,multiplication,squares,1077.0,1259
7,scratch,random,squares,,1500
8,clone,multiplication,squares,879.0,1259
8,scratch,random,squares,,1500
9,clone,multiplication,squares,1293.0,1167
9,scratch,random,squares,,1500
10,clone,multiplication,squares,1198.0,1211
10,scratch,random,squares,,1461
11,clone,multiplication,squares,1256.0,1163
11,scratch,random,squares,,1500
12,clone,multiplication,squares,1333.0,1297
12,scratch,random,squares,,1500
13,clone,multiplication,squares,1240.0,1284
13,scratch,random,squares,,1500
14,clone,multiplication,squares,968.0,1163
14,scratch,random,squares,,1488
