seed,strategy,source_task,target_task,epoch_budget,train_mse,validation_mse,test_mse,train_accuracy
0,clone,multiplication,powers,50,1.6650577027785183,1.917666239604983,1.6392020714663185,0.26
0,clone,multiplication,powers,100,0.5196142544702071,0.6379384236723695,0.5932208646180696,0.51
0,clone,multiplication,powers,200,0.17080541815992534,0.2314259164176649,0.21252288255672303,0.905
0,clone,multiplication,powers,400,0.08283836421910333,0.10926207907109156,0.10029468856325839,0.905
0,clone,multiplication,powers,800,0.05498076084673926,0.07038576455276392,0.06639450719312359,0.955
0,clone,multiplication,powers,1200,0.04961354439545456,0.06680650989506735,0.06087428147689342,0.955
0,clone,multiplication,powers,1500,0.03844696580995608,0.0459938121131931,0.044390777409739846,1.0
0,scratch,random,powers,50,8.750873415696246,8.190854508061147,8.316565265192741,0.185
0,scratch,random,powers,100,7.741127870462204,7.777500426479913,7.302723940316261,0.085
0,scratch,random,powers,200,4.4920278068442085,4.710310074114196,4.248180641931343,0.23
0,scratch,random,powers,400,0.2637186874813396,0.3293508953371192,0.2917621315575742,0.865
0,scratch,random,powers,800,0.03742915719063084,0.04725749662430476,0.040688350896679014,1.0
0,scratch,random,powers,1200,0.023990901636465473,0.029173368108370994,0.024571915082051025,1.0
0,scratch,random,powers,1500,0.01874953755348096,0.022682502025696508,0.019168680044172066,1.0
1,clone,multiplication,powers,50,1.3969934685366276,1.596882534341867,1.4670961553027244,0.22
1,clone,multiplication,powers,100,0.5098356825876464,0.5158318661053956,0.5173604787780528,0.635
1,clone,multiplication,powers,200,0.17095473392115623,0.16982799312810148,0.16509493128040367,0.805
1,clone,multiplication,powers,400,0.08392017024518054,0.08302545227082735,0.08098606542305394,0.94
1,clone,multiplication,powers,800,0.04952000558415249,0.0513168336442689,0.050501416338297696,1.0
1,clone,multiplication,powers,1200,0.021270665494853302,0.021825920754196173,0.020599331885214865,1.0
1,clone,multiplication,powers,1500,0.007615678699995092,0.00732161769452651,0.006397123257579823,1.0
1,scratch,random,powers,50,6.139921172847414,8.846651432358101,9.055302646381122,0.155
1,scratch,random,powers,100,5.561458604674508,7.765958568232351,7.64838372278271,0.17
1,scratch,random,powers,200,2.5989280354385254,3.6070165864679766,3.3622095495671926,0.355
1,scratch,random,powers,400,0.2574163300343924,0.27979550905439043,0.2717785799620986,0.74
1,scratch,random,powers,800,0.05613445192751467,0.05505127330453033,0.05244653535057806,1.0
1,scratch,random,powers,1200,0.03777756792299267,0.03865078440340893,0.036574946090761604,1.0
1,scratch,random,powers,1500,0.024929772428395287,0.025858690972776727,0.02392329227661442,1.0
2,clone,multiplication,powers,50,1.6753407313707225,1.6340739537422282,1.4551887871759852,0.14
2,clone,multiplication,powers,100,0.6130341179912923,0.5967271111613897,0.5880323003070063,0.605
2,clone,multiplication,powers,200,0.21078034715306276,0.2013044622262723,0.1945849047020296,0.86
2,clone,multiplication,powers,400,0.09252619953406115,0.08528238788506277,0.08410986484325565,0.925
2,clone,multiplication,powers,800,0.05485200074488219,0.051864505817558505,0.05327343607011899,1.0
2,clone,multiplication,powers,1200,0.036412854143767076,0.03636805716208575,0.03884090695579425,1.0
2,clone,multiplication,powers,1500,0.029158514412857953,0.030556806333690584,0.03326761643841094,1.0
2,scratch,random,powers,50,8.943213702992956,8.92460674730574,9.41030944824855,0.105
2,scratch,random,powers,100,7.5610387848223946,7.3376524981395335,7.182844128721437,0.145
2,scratch,random,powers,200,3.188140866738505,3.143471159961951,2.8819304812074504,0.35
2,scratch,random,powers,400,0.4254212438537193,0.4281371353372547,0.4006662457186213,0.725
2,scratch,random,powers,800,0.022754158438889283,0.021341654566450863,0.020109149155742672,1.0
2,scratch,random,powers,1200,0.008941781018789284,0.009859642855337955,0.010458373070235156,1.0
2,scratch,random,powers,1500,0.006820512822190157,0.007837151965211788,0.008467895259675208,1.0
3,clone,multiplication,powers,50,1.6097318563177967,1.6064530898099947,1.3983212636112459,0.27
3,clone,multiplication,powers,100,0.5153833329688807,0.4605622059295834,0.45735906426487133,0.58
3,clone,multiplication,powers,200,0.17091923501570527,0.1539397746308752,0.15008627614852477,0.855
3,clone,multiplication,powers,400,0.08263981976533685,0.07956049810892334,0.0796243759699705,1.0
3,clone,multiplication,powers,800,0.05701918004660986,0.05845087217288404,0.05882990227273124,1.0
3,clone,multiplication,powers,1200,0.039971592060687025,0.042143898186543086,0.041531429060937736,1.0
3,clone,multiplication,powers,1500,0.02926322714909781,0.03202702670640895,0.030671591052673575,1.0
3,scratch,random,powers,50,8.31256540699406,8.326644060710004,8.303721992986087,0.12
3,scratch,random,powers,100,7.227174106097785,7.546215050069249,6.970428734927784,0.08
3,scratch,random,powers,200,3.605834632267711,3.727757848857847,3.2849873516666293,0.29
3,scratch,random,powers,400,0.35749813568873295,0.32237711176855594,0.3028665990404315,0.63
3,scratch,random,powers,800,0.02586254050713965,0.02860281274263547,0.026398596883350712,1.0
3,scratch,random,powers,1200,0.015589279000704458,0.018436932379505985,0.01644648819546019,1.0
3,scratch,random,powers,1500,0.012282189001417356,0.01425614999353209,0.012973722659107935,1.0
4,clone,multiplication,powers,50,1.4762598152920916,1.843134793761048,1.6347117735396466,0.175
