seed,strategy,stopping_rule,epochs_used
0,clone,train_accuracy>=0.85,157
0,scratch,train_accuracy>=0.85,392
1,clone,train_accuracy>=0.85,222
1,scratch,train_accuracy>=0.85,443
2,clone,train_accuracy>=0.85,181
2,scratch,train_accuracy>=0.85,517
3,clone,train_accuracy>=0.85,164
3,scratch,train_accuracy>=0.85,472
4,clone,train_accuracy>=0.85,197
4,scratch,train_accuracy>=0.85,491
5,clone,train_accuracy>=0.85,266
5,scratch,train_accuracy>=0.85,573
6,clone,train_accuracy>=0.85,218
6,scratch,train_accuracy>=0.85,489
7,clone,train_accuracy>=0.85,175
7,scratch,train_accuracy>=0.85,484
8,clone,train_accuracy>=0.85,189
8,scratch,train_accuracy>=0.85,473
9,clone,train_accuracy>=0.85,171
9,scratch,train_accuracy>=0.85,415
10,clone,train_accuracy>=0.85,338
10,scratch,train_accuracy>=0.85,450
11,clone,train_accuracy>=0.85,227
11,scratch,train_accuracy>=0.85,439
12,clone,train_accuracy>=0.85,236
12,scratch,train_accuracy>=0.85,533
13,clone,train_accuracy>=0.85,245
13,scratch,train_accuracy>=0.85,520
14,clone,train_accuracy>=0.85,180
14,scratch,train_accuracy>=0.85,383
