seed,target,controller_action,controller_parent,relevant_parent,unrelated_parent,arm,convergence_steps,final_mse,final_acc
0,multiplication,scratch,,addition,subtraction,scratch,1090,0.3066554624063558,0.86
0,multiplication,scratch,,addition,subtraction,relevant_clone,1045,0.1963503585227166,0.85
0,multiplication,scratch,,addition,subtraction,unrelated_clone,1480,0.21774378541704079,0.855
0,powers,clone,multiplication,multiplication,addition,scratch,392,0.2875074148693131,0.865
0,powers,clone,multiplication,multiplication,addition,relevant_clone,157,0.2570915136357821,0.85
0,powers,clone,multiplication,multiplication,addition,unrelated_clone,331,0.21924728587200995,0.895
1,multiplication,scratch,,addition,subtraction,scratch,1020,0.3367180669161285,0.86
1,multiplication,scratch,,addition,subtraction,relevant_clone,990,0.245983214769607,0.85
1,multiplication,scratch,,addition,subtraction,unrelated_clone,1183,0.23090193263193068,0.85
1,powers,clone,multiplication,multiplication,addition,scratch,443,0.16832530906602186,0.865
1,powers,clone,multiplication,multiplication,addition,relevant_clone,222,0.14888254385707855,0.85
1,powers,clone,multiplication,multiplication,addition,unrelated_clone,328,0.14416728838160864,0.865
2,multiplication,scratch,,addition,subtraction,scratch,1134,0.3516550647158553,0.855
2,multiplication,scratch,,addition,subtraction,relevant_clone,1019,0.33859228751581605,0.85
2,multiplication,scratch,,addition,subtraction,unrelated_clone,1124,0.3613300114165068,0.85
2,powers,clone,multiplication,multiplication,addition,scratch,517,0.1237261104465908,0.86
2,powers,clone,multiplication,multiplication,addition,relevant_clone,181,0.2494116419301936,0.86
2,powers,clone,multiplication,multiplication,addition,unrelated_clone,310,0.20957423853867627,0.855
3,multiplication,scratch,,addition,subtraction,scratch,1500,0.2007399968273826,0.84
3,multiplication,scratch,,addition,subtraction,relevant_clone,1223,0.18360145074665746,0.865
3,multiplication,scratch,,addition,subtraction,unrelated_clone,1500,0.21518821935835128,0.835
3,powers,clone,multiplication,multiplication,addition,scratch,472,0.1514628672453926,0.915
3,powers,clone,multiplication,multiplication,addition,relevant_clone,164,0.23243575730569696,0.855
3,powers,clone,multiplication,multiplication,addition,unrelated_clone,426,0.12644444616552047,0.875
4,multiplication,scratch,,addition,subtraction,scratch,1131,0.3456495456352565,0.85
4,multiplication,scratch,,addition,subtraction,relevant_clone,1151,0.2502507291041232,0.855
4,multiplication,scratch,,addition,subtraction,unrelated_clone,1341,0.2703384838122139,0.855
4,powers,clone,multiplication,multiplication,addition,scratch,491,0.2446874266755736,0.895
4,powers,clone,multiplication,multiplication,addition,relevant_clone,197,0.17301105636063185,0.87
4,powers,clone,multiplication,multiplication,addition,unrelated_clone,366,0.15129054393048164,0.895
5,multiplication,scratch,,addition,subtraction,scratch,1302,0.3049686526657071,0.855
5,multiplication,scratch,,addition,subtraction,relevant_clone,1441,0.2080819366216215,0.85
5,multiplication,scratch,,addition,subtraction,unrelated_clone,1410,0.19974904923043893,0.85
5,powers,clone,multiplication,multiplication,addition,scratch,573,0.08326015754600484,0.875
5,powers,clone,multiplication,multiplication,addition,relevant_clone,266,0.11571360544603042,0.855
5,powers,clone,multiplication,multiplication,addition,unrelated_clone,388,0.15578177234882548,0.875
6,multiplication,scratch,,addition,subtraction,scratch,1203,0.24418988525893542,0.855
6,multiplication,scratch,,addition,subtraction,relevant_clone,944,0.3161874394197474,0.85
6,multiplication,scratch,,addition,subtraction,unrelated_clone,1406,0.24098956291115903,0.86
6,powers,clone,multiplication,multiplication,addition,scratch,489,0.15988094307816167,0.865
6,powers,clone,multiplication,multiplication,addition,relevant_clone,218,0.1710825090356368,0.86
6,powers,clone,multiplication,multiplication,addition,unrelated_clone,327,0.20142211848341332,0.865
7,multiplication,scratch,,addition,subtraction,scratch,1077,0.30104741859817286,0.855
7,multiplication,scratch,,addition,subtraction,relevant_clone,1001,0.2529031778543556,0.87
7,multiplication,scratch,,addition,subtraction,unrelated_clone,1312,0.2510443097832035,0.855
7,powers,clone,multiplication,multiplication,addition,scratch,484,0.18604699655364457,0.865
7,powers,clone,multiplication,multiplication,addition,relevant_clone,175,0.2180492876259493,0.87
7,powers,clone,multiplication,multiplication,addition,unrelated_clone,351,0.16735361338882856,0.925
8,multiplication,scratch,,addition,subtraction,scratch,879,0.38639825353504564,0.85
8,multiplication,scratch,,addition,subtraction,relevant_clone,883,0.2770216973467378,0.85
8,multiplication,scratch,,addition,subtraction,unrelated_clone,1446,0.14775273727245813,0.86
8,powers,clone,multiplication,multiplication,addition,scratch,473,0.1740350315143234,0.885
8,powers,clone,multiplication,multiplication,addition,relevant_clone,189,0.22725969840813887,0.885
8,powers,clone,multiplication,multiplication,addition,unrelated_clone,346,0.19361699445188246,0.885
9,multiplication,scratch,,addition,subtraction,scratch,1293,0.24756057729337402,0.855
9,multiplication,scratch,,addition,subtraction,relevant_clone,893,0.29741678978417485,0.86
9,multiplication,scratch,,addition,subtraction,unrelated_clone,1329,0.22528161020498103,0.85
9,powers,clone,multiplication,multiplication,addition,scratch,415,0.29218659240135086,0.905
9,powers,clone,multiplication,multiplication,addition,relevant_clone,171,0.21728994670941837,0.89
9,powers,clone,multiplication,multiplication,addition,unrelated_clone,298,0.30536990846475365,0.905
